position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
0.001132796,-0.007227677,-0.006817438,0.5835793,0.7073239,-0.2646796,0.2984508,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2735,40.07592,
0.001132498,-0.007227511,-0.006817663,0.5835856,0.7073268,-0.2646802,0.2984313,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2736,40.09674,
0.00113835,-0.007227549,-0.006816648,0.5837032,0.7071939,-0.2644296,0.2987383,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2737,40.10505,
0.001138139,-0.007227536,-0.006816696,0.5837073,0.7071922,-0.2644346,0.2987298,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2738,40.11703,
0.001138157,-0.00722748,-0.006816756,0.5836965,0.7072031,-0.2644362,0.2987237,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2739,40.1302,
0.001137892,-0.007227533,-0.006816741,0.5836882,0.7072095,-0.2644511,0.2987115,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2740,40.14545,
0.001143979,-0.007227589,-0.006815663,0.5838029,0.7070767,-0.2641943,0.2990288,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2741,40.16041,
0.001143993,-0.007227521,-0.006815735,0.5838009,0.7070808,-0.2641917,0.2990252,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2742,40.17691,
0.001143826,-0.007227504,-0.00681578,0.5838044,0.7070796,-0.2641953,0.2990182,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2743,40.19074,
0.001149569,-0.007227546,-0.006814769,0.5839176,0.7069503,-0.2639503,0.299319,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2744,40.20497,
0.001149444,-0.00722756,-0.006814776,0.5839292,0.7069409,-0.2639502,0.2993184,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2745,40.22031,
0.001149187,-0.007227585,-0.006814791,0.5839276,0.7069428,-0.2639609,0.2993077,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2746,40.23466,
0.001148981,-0.007227645,-0.006814763,0.5839235,0.7069452,-0.2639723,0.2993,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2747,40.24833,
0.001154759,-0.007227544,-0.006813893,0.584043,0.7068158,-0.2637172,0.2995974,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2748,40.26265,
0.001154599,-0.007227548,-0.006813915,0.5840397,0.7068193,-0.2637243,0.2995892,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2749,40.2766,
0.001154787,-0.007227505,-0.00681393,0.5840271,0.7068302,-0.2637213,0.2995907,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2750,40.29012,
0.001160456,-0.00722757,-0.006812898,0.5841218,0.7067155,-0.2634875,0.2998825,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2751,40.30457,
0.001160423,-0.007227642,-0.006812826,0.5841297,0.7067064,-0.2634883,0.2998876,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2752,40.31918,
0.001160425,-0.007227505,-0.006812973,0.5841216,0.7067183,-0.2634859,0.2998777,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2753,40.33298,
0.001160497,-0.007227636,-0.006812822,0.5841193,0.7067149,-0.2634899,0.2998867,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2754,40.34694,
0.00116604,-0.007227657,-0.006811852,0.5842284,0.7065903,-0.2632523,0.300176,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2755,40.36059,
0.001165889,-0.007227667,-0.006811867,0.5842316,0.7065881,-0.2632566,0.300171,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2756,40.37427,
0.001165664,-0.007227572,-0.006812008,0.5842232,0.7066002,-0.263264,0.3001529,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,2757,40.38819,
