position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
0.4092982,1.02171,1.363343,-0.8579846,-0.4292106,-0.2209969,-0.1755028,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5320,76.13091,
0.4090796,1.019946,1.359322,-0.8611839,-0.4232428,-0.2208687,-0.1744855,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5321,76.26807,
0.4090135,1.019797,1.359167,-0.8615772,-0.4225764,-0.2208463,-0.1741869,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5322,76.28778,
0.4088826,1.019681,1.359254,-0.8615669,-0.422555,-0.2209969,-0.1740983,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5323,76.29827,
0.4087279,1.019564,1.359459,-0.8615059,-0.4225579,-0.2213004,-0.1740078,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5324,76.31244,
0.4085893,1.019467,1.359732,-0.8612854,-0.4227924,-0.2217096,-0.1740082,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5325,76.32584,
0.4084684,1.019438,1.359893,-0.8609844,-0.4231509,-0.2221072,-0.1741197,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5326,76.3391,
0.4083745,1.019364,1.359974,-0.8605182,-0.4237078,-0.2226502,-0.1743761,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5327,76.35238,
0.408309,1.019268,1.359922,-0.8602148,-0.4241298,-0.2228556,-0.1745847,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5328,76.36616,
0.4083425,1.019217,1.359836,-0.8599449,-0.4245178,-0.2229914,-0.1747983,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5329,76.38004,
0.4083472,1.019152,1.359728,-0.8595345,-0.4251267,-0.2231803,-0.1750954,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5330,76.39322,
0.4082653,1.019042,1.359724,-0.8589486,-0.4259868,-0.2233824,-0.1756214,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5331,76.40654,
0.4081478,1.018912,1.359685,-0.8585758,-0.4264979,-0.2235538,-0.1759858,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5332,76.42057,
0.4080181,1.018732,1.359635,-0.8583658,-0.4266566,-0.2238149,-0.1762936,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5333,76.43429,
0.4078861,1.018561,1.359483,-0.8581263,-0.4269045,-0.2239832,-0.1766449,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5334,76.44762,
0.4076646,1.018333,1.359168,-0.8579736,-0.4270026,-0.2241402,-0.1769501,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5335,76.46162,
0.4074849,1.018102,1.358871,-0.8578948,-0.4271236,-0.2241211,-0.1770645,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5336,76.47538,
0.407284,1.017834,1.358416,-0.857833,-0.4272576,-0.2240699,-0.1771055,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5337,76.48949,
0.4070938,1.017534,1.35785,-0.8577465,-0.4274515,-0.2239893,-0.1771585,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5338,76.50291,
0.4069543,1.017269,1.357218,-0.8577003,-0.4275376,-0.2239381,-0.177239,0.0025,0.0025,0.0025,0,0,0.01,0,0,0.7071068,0.7071068,5339,76.51655,
