position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
0.1063252,1.778264,1.0875,0.07878932,0.4279452,-0.1843218,0.8812948,1,1,1,0,0,0,0,0,0,1,6997,99.63144,
0.104902,1.778519,1.088499,0.078632,0.4279485,-0.1835395,0.8814707,1,1,1,0,0,0,0,0,0,1,6998,99.72631,
0.1013907,1.779242,1.09029,0.07868069,0.4267227,-0.1829284,0.8821872,1,1,1,0,0,0,0,0,0,1,6999,99.74606,
0.1018054,1.779247,1.090413,0.07787953,0.4256303,-0.1833276,0.882703,1,1,1,0,0,0,0,0,0,1,7000,99.7566,
0.1016487,1.779343,1.090406,0.07839106,0.4241005,-0.1837774,0.8833003,1,1,1,0,0,0,0,0,0,1,7001,99.77129,
0.1016942,1.779185,1.090301,0.07884675,0.4230955,-0.1843485,0.8836226,1,1,1,0,0,0,0,0,0,1,7002,99.78497,
0.1017247,1.779194,1.090479,0.07848092,0.4218106,-0.1839517,0.8843519,1,1,1,0,0,0,0,0,0,1,7003,99.79819,
0.1017039,1.779211,1.090558,0.07866917,0.4204974,-0.183057,0.8851458,1,1,1,0,0,0,0,0,0,1,7004,99.81161,
0.1013555,1.779208,1.090826,0.07871794,0.4194193,-0.1829194,0.8856813,1,1,1,0,0,0,0,0,0,1,7005,99.82545,
0.1012509,1.779265,1.090774,0.07865371,0.4199966,-0.1827226,0.8854541,1,1,1,0,0,0,0,0,0,1,7006,99.83904,
0.1010809,1.779282,1.090939,0.07894419,0.4197097,-0.1826388,0.8855816,1,1,1,0,0,0,0,0,0,1,7007,99.85191,
0.1009261,1.77931,1.091118,0.0789644,0.4195627,-0.1825573,0.8856662,1,1,1,0,0,0,0,0,0,1,7008,99.8655,
0.1007637,1.779336,1.091297,0.07901819,0.4196705,-0.1822477,0.8856741,1,1,1,0,0,0,0,0,0,1,7009,99.87961,
0.1005996,1.779367,1.091456,0.07895231,0.4198417,-0.1820018,0.8856495,1,1,1,0,0,0,0,0,0,1,7010,99.89267,
0.1004782,1.779396,1.091582,0.07932325,0.4201865,-0.181575,0.8855403,1,1,1,0,0,0,0,0,0,1,7011,99.90694,
0.1004181,1.779419,1.091721,0.07919692,0.4204925,-0.1812332,0.8854764,1,1,1,0,0,0,0,0,0,1,7012,99.9204,
0.1003335,1.779456,1.09184,0.07918104,0.4204792,-0.1815348,0.8854223,1,1,1,0,0,0,0,0,0,1,7013,99.93427,
0.1004031,1.779472,1.091793,0.07924163,0.4204613,-0.181966,0.8853369,1,1,1,0,0,0,0,0,0,1,7014,99.9477,
0.1003444,1.779512,1.09191,0.07934402,0.4204634,-0.1817322,0.8853747,1,1,1,0,0,0,0,0,0,1,7015,99.96147,
0.1002865,1.779551,1.091999,0.07984648,0.4205682,-0.181544,0.8853184,1,1,1,0,0,0,0,0,0,1,7016,99.97523,
0.1002634,1.779645,1.092045,0.08010299,0.4202287,-0.1814188,0.8854821,1,1,1,0,0,0,0,0,0,1,7017,99.9886,
0.1002519,1.779738,1.092035,0.08037964,0.4197663,-0.1814452,0.885671,1,1,1,0,0,0,0,0,0,1,7018,100.0027,
0.1002574,1.779783,1.092029,0.08041938,0.4193056,-0.1811792,0.88594,1,1,1,0,0,0,0,0,0,1,7019,100.0167,
0.1002596,1.779806,1.092035,0.08016797,0.4191225,-0.1807273,0.8861417,1,1,1,0,0,0,0,0,0,1,7020,100.0305,
0.1002354,1.779828,1.092061,0.08007935,0.4191835,-0.1804054,0.8861864,1,1,1,0,0,0,0,0,0,1,7021,100.0443,
