position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,localScale.x,localScale.y,localScale.z,localPosition.x,localPosition.y,localPosition.z,localRotation.x,localRotation.y,localRotation.z,localRotation.w,frame,timeStamp,
-0.1511731,1.05955,1.093109,0.7062888,-0.555467,-0.1904311,0.3954096,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,6997,99.63144,
-0.1546849,1.060262,1.095594,0.7036477,-0.5540922,-0.1920225,0.4012345,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,6998,99.72631,
-0.1549476,1.06037,1.095736,0.70374,-0.5527081,-0.1931808,0.4024241,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,6999,99.74606,
-0.1554611,1.060494,1.09589,0.7041702,-0.5523431,-0.1933451,0.4020938,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7000,99.7566,
-0.1556981,1.060534,1.095971,0.7048427,-0.551826,-0.1934946,0.4015529,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7001,99.77129,
-0.1561058,1.060576,1.095972,0.7060482,-0.5511126,-0.1938903,0.400222,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7002,99.78497,
-0.1563576,1.060607,1.095904,0.7066928,-0.5508596,-0.1943287,0.3992186,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7003,99.79819,
-0.1567593,1.060672,1.095682,0.7074022,-0.5508013,-0.1949129,0.3977552,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7004,99.81161,
-0.1569974,1.060714,1.095687,0.7076976,-0.5509581,-0.1953386,0.3968027,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7005,99.82545,
-0.1572832,1.060782,1.095638,0.7076328,-0.5513802,-0.1955848,0.3962101,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7006,99.83904,
-0.1574587,1.060875,1.095572,0.7075545,-0.551717,-0.1955657,0.3958904,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7007,99.85191,
-0.1576706,1.060926,1.095448,0.7073457,-0.5522082,-0.1954227,0.3956492,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7008,99.8655,
-0.1578352,1.060977,1.095251,0.7069917,-0.5528738,-0.1950337,0.3955442,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7009,99.87961,
-0.1578974,1.061083,1.09497,0.7060127,-0.5542985,-0.1942408,0.3956892,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7010,99.89267,
-0.1580092,1.061188,1.094736,0.7047651,-0.5559146,-0.1934489,0.3960339,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7011,99.90694,
-0.1581248,1.061286,1.094615,0.7034056,-0.5574694,-0.1925787,0.3966888,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7012,99.9204,
-0.1582397,1.061405,1.094518,0.7027484,-0.5581207,-0.1919849,0.3972254,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7013,99.93427,
-0.1583656,1.061439,1.094504,0.7024455,-0.5584006,-0.1911186,0.397785,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7014,99.9477,
-0.1585051,1.061455,1.094563,0.7024627,-0.5585302,-0.1901926,0.3980166,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7015,99.96147,
-0.158686,1.06145,1.094545,0.7027066,-0.5584986,-0.1890501,0.3981746,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7016,99.97523,
-0.158802,1.061445,1.094563,0.7031368,-0.5583653,-0.1877773,0.3982043,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7017,99.9886,
-0.1589147,1.061438,1.094542,0.7037826,-0.5579942,-0.1865875,0.398143,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7018,100.0027,
-0.1590187,1.061404,1.094399,0.7048172,-0.5573461,-0.1851293,0.3979011,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7019,100.0167,
-0.1590998,1.061369,1.094288,0.7060555,-0.5564873,-0.1836372,0.3975992,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7020,100.0305,
-0.1591928,1.061308,1.094126,0.7080468,-0.5550829,-0.1815057,0.3969994,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7021,100.0443,
-0.1592905,1.061259,1.094017,0.7097284,-0.5538433,-0.1802087,0.3963181,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7022,100.0584,
-0.1593675,1.06121,1.093961,0.7114545,-0.5527031,-0.1789982,0.3953625,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7023,100.0721,
-0.1594563,1.061175,1.093984,0.712955,-0.5515723,-0.1781347,0.394628,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7024,100.0855,
-0.1594155,1.061272,1.094099,0.7130938,-0.5511713,-0.1790673,0.3945155,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7025,100.0996,
-0.1594633,1.061347,1.094249,0.7127834,-0.551461,-0.1799554,0.3942673,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7026,100.1134,
-0.159555,1.061406,1.094408,0.7128756,-0.5515852,-0.1802727,0.3937819,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7027,100.1273,
-0.1596569,1.061462,1.09452,0.7129634,-0.5517641,-0.180247,0.3933838,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7028,100.1414,
-0.1598195,1.061479,1.0947,0.7132497,-0.5519956,-0.1801477,0.3925845,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7029,100.1553,
-0.1598893,1.06148,1.0948,0.7134618,-0.5523283,-0.1800725,0.391765,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7030,100.169,
-0.1599312,1.061483,1.094845,0.7134236,-0.5527695,-0.180166,0.3911688,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7031,100.1834,
-0.1600236,1.0615,1.094822,0.7129929,-0.5536605,-0.1803499,0.3906087,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7032,100.197,
-0.1600927,1.061588,1.094709,0.7123304,-0.5546927,-0.1805082,0.3902799,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7033,100.2106,
-0.1601361,1.061616,1.094553,0.7116269,-0.5556715,-0.1806469,0.3901066,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7034,100.2247,
-0.1601509,1.061637,1.094291,0.710913,-0.556742,-0.180768,0.3898257,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7035,100.239,
-0.1600906,1.06159,1.093988,0.7104155,-0.5574766,-0.1808159,0.3896605,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7036,100.2527,
-0.1600688,1.061602,1.093783,0.7100816,-0.5580106,-0.1810717,0.3893859,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7037,100.2669,
-0.1600506,1.061619,1.093525,0.7098672,-0.5584872,-0.1812776,0.3889977,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7038,100.2811,
-0.160027,1.061714,1.093204,0.709676,-0.559138,-0.181589,0.388266,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7039,100.2948,
-0.1599989,1.061754,1.093024,0.7095847,-0.5596141,-0.1818514,0.3876234,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7040,100.3083,
-0.1599621,1.061801,1.092838,0.7095681,-0.5600751,-0.1820864,0.3868768,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7041,100.3225,
-0.1598943,1.061787,1.092627,0.7096069,-0.5609132,-0.1823321,0.3854731,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7042,100.3366,
-0.1599217,1.061761,1.092538,0.7113277,-0.5610559,-0.1825794,0.381961,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7043,100.3505,
-0.1599198,1.061798,1.092484,0.7115157,-0.5615569,-0.1825498,0.380887,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7044,100.3647,
-0.1598171,1.061956,1.092432,0.7108557,-0.5625124,-0.1829001,0.3805411,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7045,100.3783,
-0.1597743,1.062008,1.092425,0.7105375,-0.5625989,-0.1839435,0.3805047,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7046,100.392,
-0.159747,1.062033,1.09243,0.7104391,-0.562696,-0.1848841,0.3800887,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7047,100.4064,
-0.1597166,1.061974,1.092338,0.7102599,-0.5627015,-0.1852938,0.3802161,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7048,100.4201,
-0.1596816,1.061961,1.092281,0.7102005,-0.5625879,-0.1853492,0.380468,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7049,100.434,
-0.1596457,1.061927,1.09222,0.7101867,-0.5624854,-0.1855648,0.3805404,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7050,100.4479,
-0.1596009,1.061931,1.092067,0.7101499,-0.5623515,-0.1857316,0.3807253,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7051,100.4624,
-0.1595446,1.061849,1.09188,0.7100875,-0.5620789,-0.1859291,0.3811477,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7052,100.4759,
-0.1594394,1.061694,1.091677,0.7098218,-0.5616546,-0.1862655,0.3821027,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7053,100.4898,
-0.1593716,1.061612,1.091426,0.7094206,-0.5612066,-0.1866231,0.3833296,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7054,100.5042,
-0.1593054,1.061545,1.091157,0.7089865,-0.5608594,-0.186879,0.3845145,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7055,100.5179,
-0.1592741,1.061519,1.091051,0.7085927,-0.560614,-0.1868651,0.3856035,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7056,100.5314,
-0.1593122,1.061435,1.091044,0.708358,-0.5602938,-0.1867501,0.3865544,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7057,100.5456,
-0.1593623,1.061358,1.091069,0.7083424,-0.5600266,-0.1863224,0.3871763,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7058,100.5595,
-0.1593812,1.061241,1.091099,0.7082534,-0.5598089,-0.1857239,0.3879406,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7059,100.5735,
-0.159409,1.061169,1.091149,0.708007,-0.5597957,-0.1849736,0.3887672,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7060,100.5876,
-0.1594257,1.061105,1.091233,0.707616,-0.5598314,-0.1842783,0.3897563,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7061,100.6015,
-0.1594057,1.061153,1.091337,0.7072553,-0.5600281,-0.1837524,0.3903763,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7062,100.6156,
-0.1594118,1.061096,1.091539,0.7072547,-0.5598679,-0.1833549,0.3907939,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7063,100.6296,
-0.1594342,1.061051,1.091787,0.707514,-0.5596102,-0.1831321,0.3907981,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7064,100.6432,
-0.1594001,1.060941,1.091868,0.7079595,-0.5591591,-0.1826724,0.3908522,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7065,100.6578,
-0.1594101,1.060903,1.091961,0.7087862,-0.55849,-0.1820147,0.390617,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7066,100.6723,
-0.1593941,1.060853,1.091937,0.710125,-0.5575197,-0.1811027,0.389995,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7067,100.6851,
-0.1593597,1.060812,1.091792,0.7116792,-0.5566188,-0.1802245,0.388854,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7068,100.6991,
-0.1592723,1.060795,1.091773,0.7129456,-0.5560738,-0.1795242,0.3876361,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7069,100.7123,
-0.1592295,1.060814,1.092054,0.7136645,-0.5561611,-0.1793212,0.3862796,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7070,100.7271,
-0.1591554,1.060858,1.092313,0.713833,-0.5566822,-0.1794834,0.3851404,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7071,100.7412,
-0.1590562,1.060982,1.092634,0.7133317,-0.5577347,-0.1802235,0.3841999,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7072,100.7551,
-0.1589028,1.061174,1.092816,0.7126225,-0.5588413,-0.181412,0.3833478,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7073,100.7682,
-0.1587881,1.061273,1.092973,0.7120644,-0.5595664,-0.1824516,0.3828332,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7074,100.7831,
-0.1585554,1.061453,1.093258,0.7112675,-0.5602795,-0.1846485,0.3822182,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7075,100.7965,
-0.1583572,1.061619,1.093379,0.7109938,-0.5602598,-0.1859976,0.3821018,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7076,100.8109,
-0.1581878,1.061778,1.093431,0.7107097,-0.5602484,-0.1868307,0.3822406,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7077,100.8251,
-0.1580526,1.061952,1.093586,0.7103001,-0.560418,-0.1877668,0.3822948,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7078,100.8382,
-0.1578429,1.062211,1.09385,0.7096353,-0.5608872,-0.1881425,0.3826562,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7079,100.8518,
-0.1577428,1.062398,1.094072,0.7093998,-0.5611337,-0.1879523,0.3828249,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7080,100.8661,
-0.1576404,1.062608,1.094375,0.7094374,-0.5612414,-0.1873396,0.3828976,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7081,100.8804,
-0.1575525,1.062812,1.094701,0.7091319,-0.5618151,-0.186706,0.3829318,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7082,100.8943,
-0.1574729,1.063141,1.095141,0.7085263,-0.5629657,-0.1851074,0.383139,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7083,100.9078,
-0.1574159,1.063396,1.095475,0.7081105,-0.5636612,-0.1835304,0.3836435,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7084,100.922,
-0.1572978,1.063749,1.095936,0.7077236,-0.5640516,-0.1814851,0.3847549,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7085,100.9359,
-0.1572102,1.064078,1.096352,0.7077103,-0.5637264,-0.1793349,0.3862613,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7086,100.9499,
-0.1571707,1.064333,1.096697,0.708379,-0.5624076,-0.176457,0.3882781,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7087,100.9644,
-0.1571815,1.064642,1.097106,0.7094173,-0.5601844,-0.1734459,0.390944,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7088,100.9778,
-0.1571031,1.065048,1.097682,0.7093651,-0.55877,-0.1716102,0.3938622,-0.0025,0.0025,0.0025,0,0,0.01,0,0,-0.7071068,0.7071068,7089,100.9922,
